Elems	Counting Sort	Bubble Sort		HeapSort
50		0.002764		9.930176		0.010100
100		0.006096		40.513436		0.022188
150		0.007071		92.704611		0.032781
200		0.011825		166.285417		0.046142
250		0.006889		260.643541		0.059472
300		0.004184		300.000000		0.069837
350		0.004233		300.000000		0.082138
400		0.004787		300.000000  	0.092102
450		0.008646		300.000000  	0.102477
500		0.010076		300.000000		0.115320
550		0.008334		300.000000		0.127096
600		0.008657		300.000000		0.138113
650		0.008039		300.000000		0.151768
700		0.008863		300.000000		0.218653
750		0.009172		300.000000		0.173854
800		0.008946		300.000000		0.188933
850		0.009761		300.000000		0.217106
900		0.009933		300.000000		0.212410
950		0.010198		300.000000		0.230875
1000	0.010620		300.000000		0.262745
